"subject","predicate","object"
"event/Indian_Space_Situational_Assessment_Report_(ISSAR)_for_2024_Released","has_description","May 29, 2025 Dr. V. Narayanan, Chairman, ISRO/ Secretary, DOS, released the Indian Space Situational Assessment Report (ISSAR) for 2024 compiled by ISRO System for Safe and Sustainable Space Operations Management (IS4OM) on 22nd April 2025.  An executive summary of the ISSAR is presented below. Introduction Indian Space Research Organisation (ISRO) performs Space Situational Awareness (SSA) activities to protect national space assets against various space environmental hazards, such as Resident Space Objects including space debris, natural objects like asteroids and meteoroids, energy and particle flux. ISRO System for Safe and Sustainable Operations Management (IS4OM) functions as the nodal entity to concert all space sustainability efforts, including SSA activities, and to improve compliance with internationally recognised guidelines on the long-term sustainability of outer space activities. The prime activities conducted are regular assessment of close approach risks posed by resident space objects to satellites and launch vehicles, predicting uncontrolled atmospheric re-entries, and studying the evolution of space object populations. As an integral part of SSA activities, an annual assessment of the prevailing space situation is compiled in the form of the Indian Space Situational Assessment Report (ISSAR) for dissemination to the relevant stakeholders. The highlights of the most recent space situational assessment are presented next. Global Scenario Figure 1: Historical growth of space objects (data sourced from Space-Track) Indian Scenario Statistics of On-Orbit Indian Objects Atmospheric re-entry Close approach risk mitigation for Indian space assets in 2024 Space Object Proximity Analysis (SOPA) for Satellites ISRO regularly carries out analyses to predict close approaches by other space objects to Indian space assets.  In case of any critical close approach, collision avoidance manoeuvres (CAM) are carried out for the operational spacecraft to mitigate the collision risk. The highlights for the year 2024 are as follows: The graph below shows the total number of Collison Avoidance Manoeuvres (CAMs) carried out by ISRO for its Earth orbiting satellites over the last few years.  The number of CAMs was less in 2024 compared to the previous year. This is because improved close approach analysis methodology with larger conjunction screening volume and usage of more accurate ephemerides helped to meet collision avoidance requirements by adjusting orbit maintenance manoeuvres on several occasions and avoiding exclusive CAMs. Figure 2: Cumulative number of CAMs performed for Earth-orbiting satellites of ISRO till 2024 Collision Avoidance Analysis (COLA) for Launch Vehicles COLA analyses for lift-off clearance of launch vehicles were carried out as part of the mandatory Launch Clearance Protocol of ISRO launch vehicles.  The table below shows the COLA results for the launches in 2024. The lift-off of PSLV-C60/SPADEX was delayed based on the COLA analysis.  The figure below shows the so-called “black-out” zones within the launch window, over which the lift-off timings were prohibited for the PSLV-C60 launch to avoid potentially close approach risk with other space objects. Figure 3: Liftoff time slots – COLA results Nominal lift-off timings of all other launches (PSLV-C58, GSLV-F14, SSLV-D3, and PSLV-C59) were cleared by COLA.  To resolve close approach situations with active satellites, the required spaceflight safety related coordination was carried out with the respective operators. Spacecraft Decommissioning and Post Mission Disposal At its end-of life, Scatsat-1 was de-orbited as part of post mission operations through 12 manoeuvres, completely depleting the left-over fuel. Electrical passivation was carried out before its decommissioning on 26 Sep 2024, exactly 8 years after its launch. Two more LEO satellites, INS-2B and EOS-7 were also decommissioned before they re-entered the atmosphere. Post payload injection, the upper stages of PSLV-C58 and PSLV-C60 were de-orbited to 350 km, the former re-entered the atmosphere within 3 months, while the re-entry of PS4 of PSLV-C60 took place on 4 April 2025. PSLV Orbital Experimental Module (POEM) Two PSLV Orbital Experimental Module (POEM) missions were flown for a wide array of technology demonstration on the PS4 of PSLV-C58 (POEM-3) and PSLV-C60 (POEM-4), hosting 9 and 24 payloads, respectively. In both the cases, the upper stages were de-orbited to circular orbits of nearly 350 km altitude and passivated before functioning as POEM, the de-orbiting limited their post-mission life to approximately 3 months.  Usually a technology demonstration mission typically lasts for a short duration of a few months and proper PMD for such smaller, experimental missions are often not feasible due to on-orbit failure and hardware limitations. Therefore, POEM provides an innovative approach allowing an emergent space actor to test and qualify new technologies without requiring to fly individual satellites in space. International Cooperation International cooperation plays a crucial role in obtaining relevant data and information for safe and sustainable operations in outer space. Mitigating space environmental concerns like space debris requires collective efforts.  ISRO participates actively in various international fora deliberating on space debris issues and the long-term sustainability of outer space activities,  these include Inter-Agency Debris Coordination Committee (IADC), International Academy of Astronautics (IAA) space debris working group, International Astronautical Federation (IAF) space traffic management working group, International Organization for Standardization (ISO) space debris working group and UN-COPUOS Scientific & Technical Sub-Committee/ Legal Sub-Committee.  India currently chairs the UN working group on the Long-term Sustainability of outer space activities. ISRO chaired the IADC for the period of 2023-24 and hosted the 42nd annual IADC meet in April, 2024 at Bengaluru, which was attended by nearly 75 foreign delegates from the leading space agencies.  ISRO substantively contributed to the revision of IADC space debris mitigation guidelines, released in January 2025, and the ongoing task of exploring space debris mitigation options for lunar orbits. ISRO also participated in the annual re-entry prediction campaign conducted by IADC (Cluster II/SALSA, ERS-02) by submitting predictions. Debris Free Space Mission One of the major highlights of 2024 in the area of space sustainability was the declaration of India’s intent for Debris Free Space Mission (DFSM) in the plenary session of the 42nd IADC annual meet.  DFSM aims for debris-free space missions by all Indian space actors, both governmental and non-governmental, by 2030, by adopting   the necessary measures during design, operation, and disposal phase. One of the major requirements of DFSM is compliance with PMD of spent orbital stages and satellites with a success probability of more than 99%. Special emphasis is placed on PMD of Low Earth Orbit missions, being the most crowded orbital zone, with a target of limiting the post-mission residual lifetime to 5 years through either controlled re-entry or de-orbiting to a lower orbit.  Mission extensions should be recommended based on assessments of sub-system health, including redundancy aspects so that the ability of PMD (post mission disposal) is not compromised. Another important consideration is to treat 400 km+/-30 km as an orbital band as exclusive for human space missions. Summary and Way Forward The consolidated data for 2024 indicates intensified space activities, as reflected by the maximum number of launches as well as maximum number of re-entering objects. The growing trend in the space object population continued. The sheer number of close approach alerts indicate the alarmingly rising congestion in space, especially low-Earth orbit. With the easier access to space through rideshare coupled with technological advancements, miniaturization, mass-production capabilities, multifaceted application of space-based technology, the future space traffic is not likely to show any signs of slowing down. Based on the projected deployment of multiple large constellations, active satellites are likely to be outnumber space debris population within the current decade, making Space Traffic Management (STM) an indispensable part of spaceflight safety. As of now, there is no accepted framework for STM, hence on-orbit close approach between two active space assets needs to be resolved on case-by-case basis through inter-operator coordination, with non-trivial operational overheads. Consequently, spaceflight safety in future scenario is expected to involve more intensive coordination and cooperation between various spacefaring entities, it is desirable that a suitable collaborative framework evolves for meeting STM requirements. Recognising that Space Situational Awareness (SSA) plays a pivotal role in ensuring safe and sustainable operation, NEtwork for space objects TRacking and Analysis (NETRA) project has been undertaken by ISRO. Establishment of a radar at Chandrapur, Assam, and an optical telescope at Hanle, Ladakh, are in progress under the scope of this project. After refurbishment, the Multi-Object Tracking Radar (MOTR) at Sriharikota also commenced tracking space objects, including the Indian rocket bodies and satellites during their last few orbits before atmospheric re-entry, wherever feasibility existed. The declaration of the Intent of Debris Free Space Mission in 2024 is a testimony of ISRO’s long-standing commitment to preserving the long-term sustainability of outer space activities. In the coming years, ISRO will steadfastly pursue space object observational capacity building for SSA, share experiences, engage with the emergent space actors, and raise awareness on responsible, safe, and secure space activities through proactive implementation of the pertinent guidelines and best practices. References https://isro.gov.in https://www.spacetrack.org https://discosweb.esoc.esa.int"
"event/Indian_Space_Situational_Assessment_Report_(ISSAR)_for_2024_Released","conducted_by","org/ISRO"
"event/Indian_Space_Situational_Assessment_Report_(ISSAR)_for_2024_Released","has_date","date/May_29,_2025"
"event/Indian_Space_Situational_Assessment_Report_(ISSAR)_for_2024_Released","has_document","document/ISSAR_2024"
"event/ISRO_and_TIFR_Hold_Collaboration_Meet_on_Space_Science_and_Astronomy","has_description","May 22, 2025 On May 16, 2025, ISRO and Tata Institute of Fundamental Research (TIFR) held a collaboration meet to synergise their might to elevate the country’s prowess in space science and Astronomy. The meeting was held in Bengaluru, attended by fifty scientists and engineers from ISRO and TIFR. In his introductory remarks, Dr. Tirtha Pratim Das, Director of the Space Science Programme at ISRO Headquarters, recalled the historical legacy of the scientific partnership between ISRO and TIFR in building the nation’s space science programme. He underscored the significance of India’s new era of space science exploration, particularly in light of Space Vision 2047, the evolving space ecosystem shaped by Space Sector Reforms and the Space Policy, and the necessity of establishing a formal framework for scientific collaboration with clearly defined targets and milestones. Professor Jayaram N Chengalur, Director of TIFR, emphasized the importance of integrating the scientific and technological capabilities of both institutions. He noted that this collaboration would benefit several domains of space science and astronomy, including millimeter-wave astronomy, space weather, radio astronomy, cosmic ray physics, and planetary science, among others. Professor Yashwant Gupta, Director of the National Centre for Radio Astrophysics (NCRA), TIFR, elaborated on the capabilities of India's radio astronomy observatories, their modularity within international mega-projects, and the potential areas for collaboration with the national space agency. The meeting witnessed several breakout sessions for domain-specific discussions. The meeting was concluded with notes of action plan to take the scientific activities forward. This collaboration meeting, organized as ISRO’s effort to build a strong national network for space sciences, marks a major milestone of formal, focused collaboration between ISRO and TIFR, towards attaining excellence in the global arena in the realms of space science and astronomy."
"event/ISRO_and_TIFR_Hold_Collaboration_Meet_on_Space_Science_and_Astronomy","conducted_by","org/ISRO"
"event/ISRO_and_TIFR_Hold_Collaboration_Meet_on_Space_Science_and_Astronomy","has_date","date/May_22,_2025"
"event/ISRO_and_TIFR_Hold_Collaboration_Meet_on_Space_Science_and_Astronomy","has_document","document/ISRO_TIFR_Collaboration_Meet"
"event/A_National_Space_Science_meeting-_SAMHITA_(SAC_Astronomy_Microgravity_Heliophysics_Ionosphere_vaarTA)_was_organized_by_SAC_(ISRO),_Ahmedabad","has_description","May 19, 2025 The Space Applications Centre (SAC) Ahmedabad, organised a National Space Science meeting-SAMHITA(SACAstronomyMicrogravityHeliophysicsIonosphere vaarTA) during May 5-6, 2025. The meeting was attended by 150 delegates including scientists from ISRO/DOS and experts from academic institutions- IIST, TIFR, IIT-M, IIT-K, NISER, ARIES, NIRMA University, IIG, SPU, CVMU & Ahmedabad University. Chairman ISRO / Secretary, DOS, Dr. V Narayanan addressed the participants of the meeting, and emphasized on the importance of the confluence of community wisdom in shaping up the roadmap for the space science exploration activities of the country. Director, SAC, Dr. Nilesh M Desai delivered the opening remarks. Deputy Director- EPSA/SAC Dr Rashmi Sharma set the context of the meeting and elaborated on the expectations from the space agency-academia synergy.  Dr Tirtha Pratim Das, Director, Science Programme Office, ISRO Headquarters presented a brief account of the space science research being carried out in ISRO/DOS. Dr Mehul R Pandya, Group Director, Space Applications Centre, presented an overview of Space Science research activities and initiatives at SAC. During the national meet, a total of 40 eminent national speakers delivered talks in 9 sessions on topics ranging from astronomy, astrophysics, experiments in micro-gravity conditions, Heliophysics, magnetosphere, space weather, and Ionosphere - Thermosphere. The deliberations were focused towards initiatives and research outcome of studies being carried out in the specific domains, towards ISRO’s current and future space science missions. Secretary DoS/Chairman ISRO, Dr V. Narayanan and Director SAC, Shri Nilesh M. Desai addressing the delegates of SAMHITA – National meeting to discuss space science research initiatives at SAC, ISRO SAMHITA – National meeting to discuss space science research initiatives at SAC, ISRO"
"event/A_National_Space_Science_meeting-_SAMHITA_(SAC_Astronomy_Microgravity_Heliophysics_Ionosphere_vaarTA)_was_organized_by_SAC_(ISRO),_Ahmedabad","conducted_by","org/ISRO"
"event/A_National_Space_Science_meeting-_SAMHITA_(SAC_Astronomy_Microgravity_Heliophysics_Ionosphere_vaarTA)_was_organized_by_SAC_(ISRO),_Ahmedabad","has_date","date/May_19,_2025"
"event/A_National_Space_Science_meeting-_SAMHITA_(SAC_Astronomy_Microgravity_Heliophysics_Ionosphere_vaarTA)_was_organized_by_SAC_(ISRO),_Ahmedabad","has_document","document/National_Space_Science_Meeting_SAMHITA2025"
"event/ISRO_and_JAXA_Gear_Up_for_Joint_Chandrayaan-5_/_LUPEX_Mission_in_the_Technical_Interface_Meet","has_description","May 15, 2025 During May 13-14, 2025, ISRO and JAXA, the space agency of Japan, jointly conducted the third face-to-face Technical Interface Meeting (TIM-3), towards the Chandrayaan-5/LUPEX mission, in ISRO Headquarters, Bengaluru. The meeting was attended by senior officials, project executives, and technical team members from ISRO, JAXA, and the Mitsubishi Heavy Industries (MHI), Japan. Following the legacy of Chandrayaan-1, Chandrayaan-2 (orbiter-based lunar exploration), Chandrayaan-3 (lander-rover based in-situ exploration) and the forthcoming Chandrayaan-4 (India’s first lunar sample return mission), the Chandrayaan-5 / LUPEX (LUnar Polar EXploration) mission will be the fifth mission in the Chandrayaan series of lunar missions, in collaboration with JAXA, to study the lunar volatile materials, including lunar water, in the vicinity of a Permanently Shadowed Region (PSR) in the lunar South pole. The mission will be launched by JAXA onboard its H3-24L launch vehicle, carrying the ISRO-made lunar lander, which will carry the MHI, Japan-made lunar rover. ISRO, apart from developing the lunar lander, is also responsible for developing a few scientific instruments for the mission. The scientific instruments for this mission would be contributed by ISRO, JAXA, ESA and NASA, all thematically connected with the exploration and in-situ analysis of the volatiles reserved in the lunar polar region. The approval for the Chandrayaan-5 / LUPEX mission was received from Government of India on March 10, 2025, in the form of financial sanction. During the meeting, Shri M. Ganesh Pillai, Scientific Secretary, ISRO congratulated both the teams for the technical achievements so far, and emphasized on the importance of the collaborative endeavor for the scientific and technical aspects of the mission. Dr. Tirtha Pratim Das, Director, Science Programme Office, ISRO Headquarters, briefed about the major milestones achieved in terms of the landing site selection, payload optimization, mission design, as well as the ground segment and communication aspects. Shri G Ravi Chandra Babu, study team leader of Chandrayaan-5/LUPEX, briefed about the technical configurations arrived. He emphasized on the need for the clear definition of the milestones, timeline and deliverables of the project. Mr. Dai-Asoh, JAXA, during his opening address, briefed about the technical progress made towards the development of the rover and the interfaces related. The two days face-to-face meeting deliberated on the various technical interfaces, joint mission implementation plan, as well as the potential landing sites for the mission. The Chandrayaan-5 / LUPEX missions will be one of the major short-term milestones in India’s lunar exploration odyssey, which envisions Indian Gaganyatris (astronauts) landing on the Moon by year 2040."
"event/ISRO_and_JAXA_Gear_Up_for_Joint_Chandrayaan-5_/_LUPEX_Mission_in_the_Technical_Interface_Meet","conducted_by","org/ISRO"
"event/ISRO_and_JAXA_Gear_Up_for_Joint_Chandrayaan-5_/_LUPEX_Mission_in_the_Technical_Interface_Meet","has_date","date/May_15,_2025"
"event/ISRO_and_JAXA_Gear_Up_for_Joint_Chandrayaan-5_/_LUPEX_Mission_in_the_Technical_Interface_Meet","has_document","document/ISRO_JAXA_CH5_Technical_Interface_Meet"
"event/Solar_Ultraviolet_Imaging_Telescope_(SUIT)_onboard_Aditya-L1_Mission_Observed_Powerful_Solar_Flare_and_a_First-of-Its-Kind_Observation_of_Rare_Plasma_Ejection_in_Ultra-violet_Light","has_description","May 14, 2025 Description: SUIT ADITYA L1 OBSERVATION VIDEOFormat : mp4File Size : 1.5 MBDuration : 00:00:20Plugin : NA Observations of a power solar flare and a plasma ejection in UV light by Solar Ultraviolet Imaging Telescope (SUIT) onboard Aditya-L1 Mission:In the movie we see the December 31st, 2023 flare in the SUIT Mg II h channel (280.3 nanometer wavelength). We see the initial eruption and a plasma blob getting ejected from the flaring region and accelerated across the field of view of SUIT. We also see the accelerated part of the ejected loops in the subsequent frames. In this video, the solar disk intensity is suppressed by about a factor of 10 to make it the same intensity as the off-limb structures. The time shown in the movie is given in Universal Time (UT). On 31 Dec 2023, the Aditya-L1 mission witnessed the Sun unleashing an enormous solar flare (an X-class solar flare) that hurled a glowing plasma 'blob' off the sun. Cameras aboard the SUIT payload of Aditya-L1 watched the rare ejection of plasma blob move from a leisurely 300 kilometer per second speed to a blistering speed of 1500 kilometer per second- with this speed one can circle the entire earth in half a minute. This is first time; such an eruption is caught in near-ultraviolet light which offers scientist a new class of data sets to understand solar phenomena more deeply. Solar Flares are highly energetic explosions in the solar atmosphere. These are characterized as sudden, intense bursts of energy caused by the release of magnetic energy. During solar flares, a huge amount of radiation is emitted and energetic particles are ejected. These both impact the space weather and geo-space environment, including effects such as disruption in radio communication, power grid disturbances, satellite damage, risk to astronauts and flights etc. Considering the importance of solar flares for technology that is of day to day use, it is of paramount importance to develop a comprehensive understanding of their origin, evolution and properties, with the final aim of being able to predict them substantially in advance so that provisions may be made to shield communication satellites, power grids etc. Solar flares radiate across the complete electromagnetic spectrum. However, due to sparsity of observations in other wavelengths, they are primarily studied in the X-rays and extreme-ultraviolet, which are towards the higher energy of the electromagnetic spectrum, and to some extent in radio. However, very little is known about their properties in the Near Ultra-violet (NUV) and visible. To develop a comprehensive understanding of flares, it is necessary to, as a first step, develop the complete spectral energy distribution in flares, which can then be complemented with theoretical models, thereby helping us to derive mechanisms of flare and associated radiation. One of the science goals of the Solar Ultraviolet Imaging Telescope (SUIT) on board Aditya-L1 is to study solar flares in NUV wavelength range of 200-400 nanometers, using 11 different filters. The filters are carefully chosen in such a way that it covers the lower (photosphere) and middle (chromosphere) atmosphere of the Sun. Such observations have never been made before. Therefore, these observations, for the first time, provide the inputs regarding flare radiation which has been missing to date. The Aditya-L1 spacecraft was precisely launched into its intended orbit by PSLV C 57 launch vehicle of ISRO on September 2, 2023. After a series of complex Earth-bound maneuvers, the spacecraft was successfully placed in a large halo orbit around first Sun-Earth Lagrange Point (L1) on January 6, 2024. The first images from SUIT instrument were taken on December 6, 2023. Since then SUIT has gone through and successfully completed the verification and calibration process. From October 2024, SUIT is making regular science observations. The observation presented here from 31st December, 2023 is from the initial cruise phase before L1 insertion of Aditya-L1 spacecraft. On the eve of the new year 2024 an X-class flare erupted at the east limb of the sun from the active region NOAA 13536 and peaked at ~ 21:55 UT. The flare was also associated with a Coronal Mass Ejection (CME) which exhibited a very high velocity ~ 2852 km/s. The flare consisted of two eruptions. During the cruise phase, the onboard flare detection module was not turned on, and the flare was observed only in the Mg II h (280.3 nm, NB04) channel. SUIT observed a plasma blob getting ejected from the flaring region, which subsequently gets accelerated across the SUIT field of view. Figure 1.(a) Full disk binned image recorded by SUIT in the Mg II h filter. The over-plotted white dashed box locates the flaring region. (b) GOES SXR 1–8 angstrom observation of the flare. The flare consists of two soft X-ray peaks, which are marked by two black arrows and their corresponding timing. (c) – (h) Time evolution of flare in Mg II h and associated ejected plasma blob located with white arrows. The field of view corresponds to the boxed region shown in panel a. The velocity of the plasma blob matches closely with the measurements from Atmospheric Imaging Assembly (AIA) onboard Solar Dynamic Observatory (SDO), a NASA mission which has been observing the Sun since 2010. With the larger field of view of SUIT, the plasma blob could be tracked further out into the Solar Atmosphere. The hard X-ray observations from the Spectrometer Telescope for Imaging X-rays (STIX) payload onboard ESA Solar Orbiter (Solo) mission, showed dynamically varying signal during the acceleration phase of the plasma blob.  It was also found with the radio observations from Radio Solar Telescope Network (RSTN) and Stereo-A waves, there were multiple type III bursts during the acceleration of the plasma blob. The type III bursts are indicative of acceleration of electrons along the open free magnetic field line. The simultaneous observation of acceleration of the plasma blob, the dynamically varying hard X-ray and the type III bursts signify magnetic reconnection. The SUIT observed blob is cold prominence material suspended in the erupting loop structure, which gets accelerated during the ejection. This observation demonstrates the capability of SUIT in connecting eruptive events like prominences and CMEs back to the solar surface. Figure 2. STIX hard X-ray 25–50 keV(blue dot-dashed line), and time derivative of GOES 1–8 angstrom (transparent red solid line) over-plotted on RSTN radio spectrogram (panel a) and STEREO-A/WAVES radio spectrogram (panel b). The inset panels A, B, C and D show combined AIA 171 and 1600 A observations during this time. The brown solid vertical lines are the times of inset panels A, B, C, and D. The magenta dashed vertical line marks the start of the acceleration of the plasma blob, as observed from SUIT. In this research, SUIT observations are used in tandem with data from other observatories like SDO, SolO, RSTN, Stereo-A and GONG (Global Oscillation Network Group). This marks the significance of simultaneous solar observations with multiple instruments, enhancing the observatory-class spirit of Aditya-L1 and highlighting the importance of collaborative observations with ground and space telescopes from across the world. The above findings are published in The Astrophysical Journal Letters, one of the world’s leading astrophysics journals (DOI10.3847/2041-8213/adc387)."
"event/Solar_Ultraviolet_Imaging_Telescope_(SUIT)_onboard_Aditya-L1_Mission_Observed_Powerful_Solar_Flare_and_a_First-of-Its-Kind_Observation_of_Rare_Plasma_Ejection_in_Ultra-violet_Light","conducted_by","org/ISRO"
"event/Solar_Ultraviolet_Imaging_Telescope_(SUIT)_onboard_Aditya-L1_Mission_Observed_Powerful_Solar_Flare_and_a_First-of-Its-Kind_Observation_of_Rare_Plasma_Ejection_in_Ultra-violet_Light","has_date","date/May_14,_2025"
"event/Solar_Ultraviolet_Imaging_Telescope_(SUIT)_onboard_Aditya-L1_Mission_Observed_Powerful_Solar_Flare_and_a_First-of-Its-Kind_Observation_of_Rare_Plasma_Ejection_in_Ultra-violet_Light","has_document","document/SUIT_onboard_Aditya-L1_Mission"
"event/Updates_on_Gaganyaan,_Space_Docking_Technology_and_GLEX2025","has_description","May 07, 2025 At a media briefing, Dr. V. Narayanan, Chairman of the Space Commission, Secretary of DoS, and Chairman of ISRO, and Dr. Jitendra  Singh, Hon’ble Minister of State for Space, highlighted the latest  updates on Gaganyaan and the future human space programme, along with a demonstration of related space docking technology. The contributions of Indian astronauts towards the Gaganyaan programme and India’s  rising role in global space exploration, highlighted through a curtain raiser of #GLEX2025, reflect the vision of Hon’ble Prime Minister Shri Narendra Modi."
"event/Updates_on_Gaganyaan,_Space_Docking_Technology_and_GLEX2025","conducted_by","org/ISRO"
"event/Updates_on_Gaganyaan,_Space_Docking_Technology_and_GLEX2025","has_date","date/May_07,_2025"
"event/Updates_on_Gaganyaan,_Space_Docking_Technology_and_GLEX2025","has_document","document/Gaganyaan_Space_Docking_Technology_GLEX2025"
